gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
4171,2015,13,SUN,SEA,MIN,TCF Bank Stadium,37,86,3,W,Cloudy,FieldTurf,42,-2,38,7
4172,2015,13,SUN,HOU,BUF,Ralph Wilson Stadium,47,65,8,WSW,Cloudy,A Turf Titan,41.5,3,21,30
4173,2015,13,SUN,BAL,MIA,Sun Life Stadium,80,70,21,NE,Cloudy,Grass,43,3.5,13,15
4174,2015,13,SUN,CIN,CLE,FirstEnergy Stadium,45,63,12,S,Sunny,Grass,43.5,-9.5,37,3
4175,2015,13,SUN,JAC,TEN,LP Field,56,50,1,SE,Cloudy,Grass,43.5,2.5,39,42
4176,2015,13,SUN,SF,CHI,Soldier Field,50,55,5,S,Sunny,Grass,43.5,7.5,26,20
4177,2015,13,SUN,DEN,SD,Qualcomm Stadium,78,13,4,W,Sunny,Grass,43.5,-3.5,17,3
4178,2015,13,SUN,KC,OAK,O.co Coliseum,57,95,3,N,Cloudy,Grass,44,-3,34,20
4179,2015,13,SUN,PHI,NE,Gillette Stadium,52,49,5,SW,Clear,FieldTurf,49,9.5,35,28
4180,2015,13,SN,IND,PIT,Heinz Field,37,74,2,SSE,Partly Cloudy,Grass,49,7,10,45
4181,2015,13,MN,DAL,WAS,FedEx Field,41,75,0,CALM,Clear,Grass,42,4,19,16
4182,2015,14,THU,MIN,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,46.5,10,20,23
4183,2015,14,SUN,BUF,PHI,Lincoln Financial Field,66,68,3,SE,Partly Cloudy,Grass,47,1,20,23
4184,2015,14,SUN,SF,CLE,FirstEnergy Stadium,63,75,11,S,Cloudy,Grass,41,2,10,24
4185,2015,14,SUN,DET,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41,-3,14,21
4186,2015,14,SUN,NO,TB,Raymond James Stadium,81,63,15,E,Cloudy,Grass,50.5,4.5,24,17
4187,2015,14,SUN,TEN,NYJ,MetLife Stadium,67,55,5,S,Clear,FieldTurf,43,7,8,30
4188,2015,14,SUN,PIT,CIN,Paul Brown Stadium,63,79,8,S,Cloudy,UBU Speed Series S5M,50,2.5,33,20
4189,2015,14,SN,SEA,BAL,M&T Bank Stadium,65,70,2,S,Partly Cloudy,MomentumTurf,40.5,-11.5,35,6
4190,2015,14,SUN,IND,JAC,EverBank Field,79,66,5,E,Clear,Grass,46,1,16,51
4191,2015,14,SUN,SD,KC,Arrowhead Stadium,61,97,14,ESE,Rain,Grass,45,10.5,3,10
4192,2015,14,SUN,WAS,CHI,Soldier Field,62,80,12,SSE,Chance Rain,Grass,43.5,3.5,24,21
4193,2015,14,SUN,ATL,CAR,Bank of America Stadium,63,93,6,S,Sunny,Grass,46.5,8,0,38
4194,2015,14,SUN,OAK,DEN,Sports Authority Field at Mile High,45,33,2,W,Partly Cloudy,Grass,43.5,7,15,12
4195,2015,14,SUN,DAL,GB,Lambeau Field,53,100,10,SE,Rain,DD GrassMaster,42.5,6.5,7,28
4196,2015,14,SN,NE,HOU,NRG Stadium,,,,,Closed Roof,Grass,45,-3.5,27,6
4197,2015,14,MN,NYG,MIA,Sun Life Stadium,77,78,6,SSE,Clear,Grass,46.5,-1.5,31,24
4198,2015,15,THU,TB,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41,1,23,31
4199,2015,15,SAT,NYJ,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,41.5,-3.5,19,16
